source,cpi_category,product_name,price_ghc,unit,currency,url,scraped_at
Big Samps Market,Food & Beverages,Boneless Cow Meat (about 750g),80.0,750g,GHS,https://bigsampsmarket.com/product/boneless-cow-meat/,2026-05-05T15:03:29.404205+00:00
Big Samps Market,Food & Beverages,Chicken Drumsticks 2kg,80.0,2kg,GHS,https://bigsampsmarket.com/product/chicken-drumsticks-2kg/,2026-05-05T15:03:29.412523+00:00
Big Samps Market,Food & Beverages,Chicken Sausages Pack,19.0,,GHS,https://bigsampsmarket.com/product/chicken-sausages-pack/,2026-05-05T15:03:34.751133+00:00
Big Samps Market,Food & Beverages,Chicken Thighs Soft (5kg),175.0,5kg,GHS,https://bigsampsmarket.com/product/chicken-thighs-soft-5kg/,2026-05-05T15:03:34.754508+00:00
Big Samps Market,Food & Beverages,Cow intestines 1kg,45.0,1kg,GHS,https://bigsampsmarket.com/product/cow-intestines-1kg/,2026-05-05T15:03:34.758058+00:00
Big Samps Market,Food & Beverages,Cow Share – Large,1600.0,,GHS,https://bigsampsmarket.com/product/cow-share-large/,2026-05-05T15:03:34.761632+00:00
Big Samps Market,Food & Beverages,Cow Share – Mini,800.0,,GHS,https://bigsampsmarket.com/product/cow-share-mini/,2026-05-05T15:03:34.765227+00:00
Big Samps Market,Food & Beverages,Crate of Eggs (30 pcs),65.0,30 pcs,GHS,https://bigsampsmarket.com/product/crate-of-eggs/,2026-05-05T15:03:34.768374+00:00
Big Samps Market,Food & Beverages,Doctor fish (Smoked),45.0,,GHS,https://bigsampsmarket.com/product/doctor-fish/,2026-05-05T15:03:34.771554+00:00
Big Samps Market,Food & Beverages,Dressed Broiler – Akokor,280.0,,GHS,https://bigsampsmarket.com/product/dressed-broiler-akokor/,2026-05-05T15:03:34.774979+00:00
Big Samps Market,Food & Beverages,Dried Shrimps- Half Olonka,200.0,,GHS,https://bigsampsmarket.com/product/dried-shrimps-half-olonka/,2026-05-05T15:03:34.778289+00:00
Big Samps Market,Food & Beverages,Fish powder – 1 cup,40.0,,GHS,https://bigsampsmarket.com/product/fish-powder/,2026-05-05T15:03:34.781474+00:00
Big Samps Market,Food & Beverages,Flat Crabs,10.0,,GHS,https://bigsampsmarket.com/product/flat-crabs/,2026-05-05T15:03:34.784741+00:00
Big Samps Market,Food & Beverages,Frozen Mackerel (1.9 -2kg),85.0,2kg,GHS,https://bigsampsmarket.com/product/frozen-mackerel-1kg/,2026-05-05T15:03:34.787558+00:00
Big Samps Market,Food & Beverages,Full Chicken (Dressed layer),160.0,,GHS,https://bigsampsmarket.com/product/full-chicken-dressed-layer/,2026-05-05T15:03:34.795396+00:00
Big Samps Market,Food & Beverages,Full Goat Share,1780.0,,GHS,https://bigsampsmarket.com/product/full-goat-share/,2026-05-05T15:03:34.799444+00:00
Big Samps Market,Food & Beverages,Goat Meat – No intestines (350g),50.0,350g,GHS,https://bigsampsmarket.com/product/goat-meat-no-intestines-1-pound/,2026-05-05T15:03:34.803873+00:00
Big Samps Market,Food & Beverages,Goat Meat – No intestines (730g),100.0,730g,GHS,https://bigsampsmarket.com/product/goat-meat-no-intestines/,2026-05-05T15:03:34.811004+00:00
Big Samps Market,Food & Beverages,Half Crate of Eggs,33.0,,GHS,https://bigsampsmarket.com/product/half-crate-of-eggs/,2026-05-05T15:03:34.816030+00:00
Big Samps Market,Food & Beverages,Half Goat Share,880.0,,GHS,https://bigsampsmarket.com/product/half-goat-share/,2026-05-05T15:03:34.820776+00:00
Big Samps Market,Food & Beverages,Hard Chicken Wings (1kg),60.0,1kg,GHS,https://bigsampsmarket.com/product/hard-chicken-wings/,2026-05-05T15:03:34.829258+00:00
Big Samps Market,Food & Beverages,Kako,7.0,,GHS,https://bigsampsmarket.com/product/kako/,2026-05-05T15:03:34.832351+00:00
Big Samps Market,Food & Beverages,Koobi – Salted Tilapia (Medium),35.0,,GHS,https://bigsampsmarket.com/product/koobi-salted-tilapia-medium/,2026-05-05T15:03:39.741253+00:00
Big Samps Market,Food & Beverages,Kotodwe (Cow Leg),35.0,,GHS,https://bigsampsmarket.com/product/kotodwe-cow-leg/,2026-05-05T15:03:39.744552+00:00
Big Samps Market,Food & Beverages,Momoni (1 piece),2.0,1 piece,GHS,https://bigsampsmarket.com/product/momoni-1-piece/,2026-05-05T15:03:39.750401+00:00
Big Samps Market,Food & Beverages,Odoi (Smoked Barracuda) 1 piece,45.0,1 piece,GHS,https://bigsampsmarket.com/product/odoi-smoked-barracuda-1-piece/,2026-05-05T15:03:39.756489+00:00
Big Samps Market,Food & Beverages,Pig feet (Cut),20.0,,GHS,https://bigsampsmarket.com/product/pig-feet/,2026-05-05T15:03:39.760091+00:00
Big Samps Market,Food & Beverages,Potato Chips ( French fries) 2.5kilos,90.0,,GHS,https://bigsampsmarket.com/product/potato-chips-french-fries/,2026-05-05T15:03:39.763592+00:00
Big Samps Market,Food & Beverages,Quarter Goat Share,460.0,,GHS,https://bigsampsmarket.com/product/quarter-goat-share/,2026-05-05T15:03:39.766807+00:00
Big Samps Market,Food & Beverages,Red Fish,60.0,,GHS,https://bigsampsmarket.com/product/red-fish/,2026-05-05T15:03:39.770068+00:00
Big Samps Market,Food & Beverages,Sausage LeBon,19.0,,GHS,https://bigsampsmarket.com/product/sausage-lebon/,2026-05-05T15:03:39.774378+00:00
Big Samps Market,Food & Beverages,Shrimp Powder – 1 cup,50.0,,GHS,https://bigsampsmarket.com/product/shrimp-powder/,2026-05-05T15:03:39.778018+00:00
Big Samps Market,Food & Beverages,Smoked Catfish – Adwene (1 Large),60.0,1 L,GHS,https://bigsampsmarket.com/product/smoked-catfish-adwene-1-large/,2026-05-05T15:03:39.781203+00:00
Big Samps Market,Food & Beverages,Smoked Catfish – Adwene (1 small),35.0,,GHS,https://bigsampsmarket.com/product/smoked-catfish-adwene-1-small/,2026-05-05T15:03:39.784072+00:00
Big Samps Market,Food & Beverages,SMOKED FISHES BUNDLE (Nsuomunam),499.0,,GHS,https://bigsampsmarket.com/product/smoked-fishes-bundle/,2026-05-05T15:03:39.787248+00:00
Big Samps Market,Food & Beverages,Smoked Saflo,45.0,,GHS,https://bigsampsmarket.com/product/smoked-saflo/,2026-05-05T15:03:39.791384+00:00
Big Samps Market,Food & Beverages,Smoked Salmon,18.0,,GHS,https://bigsampsmarket.com/product/smoked-salmon/,2026-05-05T15:03:39.794640+00:00
Big Samps Market,Food & Beverages,Smoked Salmon (Large),30.0,,GHS,https://bigsampsmarket.com/product/smoked-salmon-large/,2026-05-05T15:03:39.797817+00:00
